"","date","year","month","day","MISUKU","NTHALIRE","CHITIPA","KARONGA","CHILUMBA","RUMPHI","HEWE","MZUZU","MZIMBA","EMBANGWENI","JENDA","MPAMBA","NKHATABAY","CHINTHECHE","DWANGWA","NKHOTAKOTA","MWANSAMBO","SALIMA","DOWA","NTCHISI","MALOMO","MPONELA","MADISI","BOWE","SANTHE","KASUNGU","CHAMAMA","NKHAMENYA","CHATOLOMA","MKANDA","MCHINJI","NSUNDWE","NAMBUMA","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","THETE","MTAKATAKA","CHIMBIYA","BEMBEKE TURN OFF","LIZULU","SHARPEVALEY","TSANGANO TURN OFF","NTCHEU","NTONDA","BALAKA","NTAJA","NAMWERA","MONKEY BAY","MANGOCHI","LIWONDE","JALI","MAYAKA","ZOMBA","THONDWE","CHIRADZULU","LUNZU","LIMBE","BVUMBWE","MWANZA","NENO","LUCHENZA","MIGOWI","PHALOMBE","MULOZA","CHIKWAWA","NGABU","NCHALO","BANGULA","NSANJE","CHILINGA"
"1","2008-01-01","2008","01","01",NA,"241.67","148.42","115.06",NA,"119.45",NA,"116.24","120.15",NA,NA,"89.41","95.53",NA,"80",NA,"90",NA,"100","100","105",NA,"110",NA,"100","110",NA,NA,NA,NA,"125","100","85","100","100","100","90","100",NA,NA,"100","100","100",NA,"100","100",NA,NA,"80",NA,"105.61","90","100","70",NA,"90",NA,"100","100","68.7","110","110","100","120",NA,"78.85",NA,NA,NA,NA,"106.25","100",NA
"2","2008-01-08","2008","01","08","133.11","246.67","148.68","117.98",NA,"119.45",NA,"110","120.1",NA,NA,"89.41","101.33","131.15","80",NA,"90","100","80","100","100","100","100",NA,"100","110",NA,NA,NA,NA,"125","100","100",NA,"100",NA,"90","130",NA,NA,"100",NA,"106.3",NA,"100","100",NA,"98.86","90",NA,"107","90.26",NA,"90",NA,"90",NA,"100","100","106.5","110","110","100","120",NA,"79.84",NA,NA,NA,NA,"157.5","100",NA
"3","2008-01-15","2008","01","15","131.11","246.67","124.56","112.27",NA,"117","145.05","112.18","120.1",NA,NA,"136.05","77.23","132.18",NA,"95",NA,"120","100","100","103","100","105",NA,"100","115",NA,NA,NA,NA,"125","100","100","110.37","100","100","95","130",NA,"126.67","100",NA,"106.3","200","100","100",NA,"98.86","90",NA,"92.71","98.15","100","90",NA,"90",NA,"100","100","112.96","110","110","100","120",NA,"83.67","83.33","104.02",NA,NA,"106.25","100",NA
"4","2008-01-22","2008","01","22","141.67","238.15","124.56","117.98",NA,"117","145.05","112.18","120.1",NA,NA,"136.05","91.17","130.8","80","95","95","120","100","100","105","110","105",NA,"100","115",NA,NA,NA,NA,"125","100","100","110.37","100","100","95","130",NA,"137.14","100",NA,"106.3","200","100","100",NA,"98.86","90",NA,"102.01","98.15","100","90",NA,"90",NA,"100","100","112.96","110","110","100","120",NA,"80.24","85","104.02","110","157.5","106.25","100",NA
"5","2008-01-29","2008","01","29",NA,"246.67","144.97","126.48",NA,NA,"143.86",NA,NA,NA,NA,NA,"98.12",NA,"80",NA,"110",NA,NA,"100","100",NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,"100",NA,NA,"110","100",NA,"130",NA,"137.14",NA,NA,NA,NA,NA,"100",NA,"99.68",NA,NA,"100.63","125.49",NA,NA,NA,"90",NA,NA,NA,NA,NA,"110","100","120",NA,NA,NA,"104.36","100",NA,NA,"100",NA
"6","2008-02-05","2008","02","05","141.67","237.9","155.63","134.92","177","132.22","143.86","116.24",NA,NA,NA,NA,NA,"130.48","90",NA,"110",NA,NA,"120","100","110",NA,NA,"100","100",NA,NA,NA,NA,"125","100","100",NA,"100","100","95",NA,"110","137.14","100",NA,NA,NA,"100","120",NA,"113.6","95",NA,"110.37","135.29","100","90",NA,NA,NA,"100","100",NA,"110","110","100",NA,NA,NA,"89.44","125.33",NA,"157.5","127.5","100",NA
"7","2008-02-12","2008","02","12",NA,NA,"155.63",NA,NA,"138.33",NA,"116",NA,NA,NA,NA,NA,"130.48","120","150","110",NA,"100","120",NA,"130",NA,"125","100","100",NA,"120","140",NA,"125","100","110",NA,"100","100","95","130","110",NA,NA,"120","106.3",NA,"100","120",NA,NA,"97","100","120.03","100.98","110","90",NA,"100",NA,"100","100","165.85","110","125","135.55","120",NA,"86.59","89.44",NA,"100","167.5","127.5",NA,NA
"8","2008-02-19","2008","02","19","150",NA,"161.11","143.18",NA,"138.89","180.82","120.5",NA,NA,NA,NA,NA,"130.48","140","150","110","120","120","110",NA,NA,NA,NA,NA,"100",NA,"120","140",NA,"130","120","120","120","100",NA,"95","125","110","150",NA,"120",NA,NA,NA,"120",NA,"113.16","110","100",NA,"105.88","120","96.66",NA,"100","100","100","120","165.85",NA,"125",NA,NA,NA,"98.67","91.67","124.16","100","157.5","127.5",NA,NA
"9","2008-02-26","2008","02","26","150",NA,"161.11","145.87",NA,"138.89","183.16",NA,NA,NA,NA,"117.24","90.84","134.38","140","150","110","100","120","130",NA,NA,"110",NA,"100",NA,NA,NA,"140",NA,"130","120","100",NA,"110","125","95",NA,NA,"160","130",NA,"120",NA,"110","120",NA,NA,"120",NA,NA,NA,NA,"95.15",NA,"90","100","100","120",NA,NA,"125","135.55","100",NA,"99.58","83.33","125.21","100","157.5",NA,"120",NA
"10","2008-03-04","2008","03","04","150","237.9","177.78","129.1","155.21","139.44","183.16","112.2",NA,NA,NA,NA,"91.21","134.74","140","150","110","120","150","130","105","130","110",NA,"100","100",NA,"140",NA,NA,"130","120","100",NA,"110","100","100","125","110","150","130","120","120",NA,"110","150",NA,"115.55","120","100","125.43","115.12",NA,"95.15",NA,"98.7","100","100","120",NA,NA,"125","135.55","100",NA,"101.24","91.67","125.42","110","160","118.33","120",NA
"11","2008-03-11","2008","03","11","155.56","237.9","156.3","143.24","150.07","139.44","181.99","138.18","159",NA,"183.15","261.11","100.33","134.74","150","150","110","126.67","140","130","120","130","100","130","100","100",NA,"140","150",NA,"130","120","120",NA,"110","100","100","130","110",NA,"140",NA,"106.3","150","100","150",NA,"115.55","120","100","121.24","112.18","120","100","93.5","98.7","100","100","120","182.38",NA,"130",NA,"100",NA,"105.96","135","124.65","100","142.5","118.33","120",NA
"12","2008-03-18","2008","03","18","155.56","355.56","159.24","140.94","150.07","148.89","184.33","125.2","159.19",NA,"180","261.11","91.17","134.74","150","180","110","126.67",NA,"150","120","130","110","135","100","100",NA,"140","150",NA,"130","120","120",NA,"110","100","100","130","110","214.2","140",NA,"120",NA,NA,"150",NA,"102.11","140","110","122.22","112.58","120","100","95","98","100","100","120","176.23","110","140",NA,"136.67",NA,NA,"140",NA,"100","150","115","120",NA
"13","2008-03-25","2008","03","25","149.9","355.56","159.24","134.83","155","148.89","184.33","125.2","160.05",NA,"180","219","91.17","135.3","150","180","110","126.67","140","140","120","130","110","120","100","100",NA,"140","150",NA,"140","120","120",NA,"110","100","100","130","110","214.2","140",NA,"118",NA,"100","150",NA,"102.11",NA,"110","120.33","115.28","120","100","95","98.7","100","100","120","176.23",NA,"140",NA,"136.67",NA,NA,"140",NA,"100","150","115","140",NA
"14","2008-04-01","2008","04","01","147.5",NA,"159.24","180.05","200",NA,"218.94","92.15","162",NA,NA,"189.14","166.33","135.5","150","180","110","120","150","150","120","130",NA,"115","100","100",NA,"140",NA,NA,"140","120","120",NA,NA,"100","95","125","110","192.86","140",NA,"111",NA,"110","150",NA,"167.94","140",NA,"120.16","112.2","120","100",NA,"120","100","100","120",NA,"120","140","135.55","130",NA,"110.56","140",NA,"100","150","127.5","140",NA
"15","2008-04-08","2008","04","08","200","197.65","153.36","175.43","200","148.89","153.57","108","180",NA,NA,"220.97","166.33","135.2","150","200","110","130","140","150","120","150","120","120","100","100",NA,"140",NA,NA,"140","140","120",NA,NA,"100","100","126.25","110",NA,"140",NA,"100",NA,"110","150",NA,"167.94","140","110","120.16","112.2","120","100","95.5","90","100","100","120","171.15",NA,"140",NA,"130",NA,"116.78","140",NA,"95","150","127.5","120",NA
"16","2008-04-15","2008","04","15","183.5",NA,"155.36","176.31","150","144.78","154.23","117.2","156.47",NA,"180","220.97","174.86","137.4","150","200","125",NA,"150","150","118.76","150","120","125","100","100",NA,"150",NA,NA,"150","140","130","122","130","100",NA,"120","110","171.43","140",NA,"128.4",NA,"110","150",NA,"167.94","140",NA,"135.6","114.12","140","100","95","98.7","120","100","120","159.88",NA,"140","135","140",NA,"115.49","143.33","124.64","90","150","125.05","120",NA
