"TZ2009L101","TZ2009L102","TZ2009L103","TZ2009L104","TZ2009L105","TZ2009L106","TZ2009L107","TZ2009L108","TZ2009L109","TZ2009L110","TZ2009L111","TZ2009L112","TZ2009L113","TZ2009L114","TZ2009L115","TZ2009L116","TZ2009L117","TZ2009L118","TZ2009L119","TZ2009L120","TZ2009L121","TZ2009L122","TZ2009L123","TZ2009L124","TZ2009L125","TZ2009L126","TZ2009L127","TZ2009L128","TZ2009L129","TZ2009L130","TZ2009L131","TZ2009L132","TZ2009L133","TZ2009L134","TZ2009L135","TZ2009L136","TZ2009L137","TZ2009L138","TZ2009L139","TZ2009L140","TZ2009L141","TZ2009L142","TZ2009L143","TZ2009L144","TZ2009L145","TZ2009L146","TZ2009L147","TZ2009L148","TZ2009L149","TZ2009L150","TZ2009L151","TZ2009L152","TZ2009L153","TZ2009L154","TZ2009L155","TZ2009L156","TZ2009L157","TZ2009L158","TZ2009L159","TZ2009L160","TZ2009L161","TZ2009L162","TZ2009L163","TZ2009L164","TZ2009L165","TZ2009L166","TZ2009L167","TZ2009L168","TZ2009L169","TZ2009L170","TZ2009L171","TZ2009L172","TZ2009L173","TZ2009L174","TZ2009L175","TZ2009L176","TZ2009L177","TZ2009L178","TZ2009L198","TZ2009L199"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69746255924488,9.9102415572592,0,7.23700996069391,0,10.5637944758392,0,1.35178795764769,0,0,1.59509684590245,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9594093940001,10.2166353931782,7.66950413244924,10.2542267145881,7.53951490733471,5.77461508123051,5.72473253901552,5.78419724460564,7.10683646400132,9.04623005812967,6.69510027084829,23.1233799181822,7.76261737318492,14.1912011988601,8.04297965972642,0,8.27534563507168,8.40355967992179,4.11779314122636,20.3205241506955,6.29411222101951,11.0159144349726,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351759549382951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41240781416307,0,0,0,5.27423980682966,4.70739670307504,4.07011679077487,0,0.493731601637588,3.80607249042594,0,4.67659906160338,5.25234031339907,4.45671390106318,0,0,0,0,0,0,3.89950183179353,3.64384780984473,0,0,0,4.0684899470269,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1707832193832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40888793762397,5.7458338197883,7.32090380313408,10.217331705994,6.3490967639301,7.6527260869764,0.19832803397596,0.0114887843713901,0,5.17252957921174,12.3983825123128,6.31129598240258,22.695462521124,11.9739605243203,0,0,7.59704913449604,3.22024608633666,0,6.27396826545293,0,5.01258978927623,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45060166086999,0,0,6.98322036880889,0,0,0,0,0,5.71225015174103,0,0,0,1.46642549757434,0,0,0.165922593295659,14.5773768285882,16.5834515215919,13.4319920994796,17.4175386320168,18.9857090645831,15.3757675823329,11.6486151170728,17.5669920005534,22.1871504110124,17.7737662557994,22.1597461708237,4.35634540914692,24.4851195936131,15.5343128078043,10.9015550051823,0,10.8617167524119,9.62676372783407,10.178039035098,10.3124655313782,12.6359311648172,16.4063606192634,0,1.00487237131997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4421038925033,11.3946557145692,0,13.1070222524507,10.2512043747181,0,0,0,0,0,0,4.72036294984398,0,0,2.33138222403149,0,7.09731666997383,0,0,0,4.87961504600122,0,0,6.07136695323889,0,0,0,0,0,11.1977432533182,0,0,6.84076524508585,12.6298431277373,0,0.706508589284358,0,0.265895526870171,0,3.83475206622462,4.36692771260425,5.62459191167961,0.032832652593615,4.86687517615436,0,0,0,1.5980422167183,4.38151711098228,0,5.64803068530012,8.22562780222077,0,7.59704913449604,5.31132683162133,6.03866446363487,0,0.196339695128373,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4323605452822,8.81658122897937,8.31368360979059,0,3.71377417676921,0,0,11.9281764559043,5.04028488810852,0,2.88482702555565,10.4183860028272,0,6.78366425938126,9.89852318369308,11.0994319179168,10.2581133647073,8.60217776288071,2.07198866772247,0,0,0,0,3.18635651494954,0,0,0,0,0,14.53180981745,0,0,3.13847998704977,17.2276800729247,0,4.00886248043395,3.37768235436676,11.9133477411475,14.7072958174616,0,0,0,7.75363212285191,0.934253925860548,9.38702363043619,0,13.3875714855288,1.47673122937434,8.03582545913035,5.95389097234606,6.27342949857542,1.25459887565222,13.1233003153052,9.38181100674215,7.19129834344167,7.0175847082004,10.553052763106,10.1877216278767,10.4262787398253,4.76639844568524,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53042125075872,0,0,7.23153198075859,4.40835483547911,0,0,0,0,0,0,0,0,0,0,0,8.11335130962597,0,0,0,6.41045063731355,0,0,13.4264452451879,0,0,0,0,0,0,0,0,0,1.00296106111074,0,0,0,0,9.35053485516863,1.79823658602129,7.86909701374483,15.6230720285,13.9510136548069,8.04056082682434,9.38235299359554,17.0814337959103,14.064971069265,10.2940326160886,14.1769250840961,10.4811386396293,14.4984201770942,21.437407167845,0,14.6929549242844,17.0625915213037,10.8546979186812,10.2868356211597,1.22253308835719,17.1790803695737,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48266299128662,0,0,0,0,0,1.12686047307546,0,0,0,0,0,0,0,6.97009304613185,0,0.393901397017296,0,0,6.67766282013081,5.77993372080846,9.95062449286833,0,8.33750248131474,0,9.2150040473197,13.1752053405724,17.8061707933494,13.5283421340101,15.7304196269252,12.1952015223902,0,0,0,0,0.653264766238187,6.71833949422381,0,0,0,0,0,0,12.4740680580389,9.44582062542904,15.8433851834028,10.4319541591763,6.89119442684647,0,8.15934527552353,8.10854898284325,1.74187733847806,8.31444294493517,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69288537993197,0,5.50680334917552,1.31693780984573,11.7197446156826,0,0,0,0,2.87638041572629,0,0,14.1218751469967,10.2225816360491,9.66212127796519,17.9288737366844,14.4085623862511,13.8940367696357,0,6.56874513888294,9.33831746948162,7.51054512290048,0,0,0,6.4529519574009,0,17.4326747791257,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593024588034293,12.306896380449,16.3142857569496,18.402253366706,0.588496743037951,15.7994432349718,0.00569511004306376,11.5066142251769,0,6.93029370504804,11.9899073074143,0,6.86007682035714,0,0,0,0,0,0,0,0,11.0052105951814,0,0
