,model,precision,recall,fscore,support,accuracy,
0.00,mw_FCS,0.26,0.27,0.16,199.00,0.70,
1.00,mw_rCSI,0.55,0.36,0.37,266.33,0.67,
2.00,tz_FCS,0.17,0.02,0.03,155.67,0.83,
3.00,tz_rCSI,0.41,0.33,0.26,334.67,0.54,
4.00,ug_FCS,0.53,0.19,0.24,137.33,0.51,
,,,,,,,
,,,,,,,
