,model,precision,recall,fscore,support,accuracy,
0,mw_FCS,0.00,0.00,0.00,14.00,0.75,
1,mw_rCSI,0.00,0.00,0.00,3.50,0.59,
2,tz_FCS,0.00,0.00,0.00,13.00,0.83,
3,tz_rCSI,0.00,0.00,0.00,16.00,0.61,
4,ug_FCS,0.00,0.00,0.00,17.67,0.67,
