,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.44,0.18,0.14,199.00,0.73
1,mw_rCSI,0.41,0.73,0.52,266.33,0.59
2,tz_FCS,0.51,0.06,0.10,155.67,0.83
3,tz_rCSI,0.56,0.28,0.31,334.67,0.58
4,ug_FCS,0.28,0.26,0.27,137.33,0.65
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
