,model,precision,recall,fscore,support,accuracy
0.00,mw_FCS,0.64,0.33,0.28,199.00,0.75
1.00,mw_rCSI,0.47,0.67,0.54,266.33,0.62
2.00,tz_FCS,0.49,0.25,0.32,155.67,0.83
3.00,tz_rCSI,0.52,0.56,0.50,334.67,0.60
4.00,ug_FCS,0.53,0.30,0.38,137.33,0.68
