,model,precision,recall,fscore,support,accuracy
0.00,mw_FCS,0.00,0.00,0.00,14.00,0.73
1.00,mw_rCSI,0.00,0.00,0.00,3.50,0.59
2.00,tz_FCS,0.00,0.00,0.00,13.00,0.83
3.00,tz_rCSI,0.00,0.00,0.00,16.00,0.58
4.00,ug_FCS,0.33,0.04,0.07,17.67,0.65
