,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.00,0.00,0.00,7.00,0.70
1,mw_rCSI,0.00,0.00,0.00,2.33,0.67
2,tz_FCS,0.00,0.00,0.00,13.00,0.83
3,tz_rCSI,0.00,0.00,0.00,16.00,0.54
4,ug_FCS,0.11,0.37,0.10,17.67,0.51
,,,,,,
,,,,,,
