,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.4597701149425288,0.23202614379084965,0.18021978021978022,83.0,0.7614139345268618
1,mw_rCSI,0.14374225526641884,0.1798449612403101,0.1597796143250689,74.0,0.632012950115909
2,tz_FCS,0.0,0.0,0.0,13.0,0.8366374622298188
3,tz_rCSI,0.0,0.0,0.0,16.0,0.5903292496962251
4,ug_FCS,0.6,0.08831908831908832,0.15268817204301074,17.666666666666668,0.6921981004070558
