,model,precision,recall,fscore,support,accuracy
0,mw_FCS,0.3333333333333333,0.004901960784313725,0.00966183574879227,50.0,0.7507346938921161
1,mw_rCSI,0.13137893593919653,0.18759689922480619,0.1545338441890166,74.0,0.661978922637236
2,tz_FCS,0.025641025641025644,0.011494252873563218,0.015873015873015876,13.0,0.82681379705725
3,tz_rCSI,0.0563544500582977,0.1388235294117647,0.0787037037037037,16.0,0.6111490068246618
4,ug_FCS,0.16641500800732098,0.5655270655270656,0.24341482686070762,17.666666666666668,0.648526307854666
