FS_year,FCS,rCSI,rural,lat_modified,lon_modified
2016,39.88888889,5.5,0.888888889,-9.656097111,33.34935528
2016,39.88888889,5.5,0.888888889,-9.656097111,33.34935528
2016,39.88888889,5.5,0.888888889,-9.656097111,33.34935528
2016,39.88888889,5.5,0.888888889,-9.656097111,33.34935528
2016,40.97727273,7.590909091,1,-9.964725091,33.37890541
2016,40.97727273,7.590909091,1,-9.964725091,33.37890541
2016,48.72,4.04,0.2,-9.9754,33.926
2016,48.72,4.04,0.2,-9.9754,33.926
2016,48.72,4.04,0.2,-9.9754,33.926
2016,38.02173913,7.391304348,1,-11.96682978,34.07365043
2016,59.64285714,2.714285714,0.904761905,-11.52208662,33.86295895
2016,59.64285714,2.714285714,0.904761905,-11.52208662,33.86295895
2016,52.46875,4.9375,1,-11.32812044,33.47984569
2016,52.46875,4.9375,1,-11.32812044,33.47984569
2016,62.25,2.35,0.25,-11.7158703,33.92207085
2016,62.25,2.35,0.25,-11.7158703,33.92207085
2016,62.25,2.35,0.25,-11.7158703,33.92207085
2016,62.25,2.35,0.25,-11.7158703,33.92207085
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,61.75,4.916666667,0,-11.64490658,34.00556525
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,65.47916667,3.541666667,0.25,-11.46159125,33.96905704
2016,72.83333333,3.166666667,0,-11.80072742,34.12488867
2016,72.83333333,3.166666667,0,-11.80072742,34.12488867
2016,72.83333333,3.166666667,0,-11.80072742,34.12488867
2016,72.83333333,3.166666667,0,-11.80072742,34.12488867
2016,72.83333333,3.166666667,0,-11.80072742,34.12488867
2016,72.83333333,3.166666667,0,-11.80072742,34.12488867
2016,48.93181818,5.363636364,0.363636364,-11.55550986,33.9176785
2016,48.93181818,5.363636364,0.363636364,-11.55550986,33.9176785
2016,48.93181818,5.363636364,0.363636364,-11.55550986,33.9176785
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,38.65217391,9.391304348,1,-13.3490727,33.40573478
2016,42.26,5.12,1,-12.90363624,33.73073596
2016,42.26,5.12,1,-12.90363624,33.73073596
2016,42.26,5.12,1,-12.90363624,33.73073596
2016,42.26,5.12,1,-12.90363624,33.73073596
2016,52,3.363636364,0.863636364,-13.33560959,34.10671
2016,52,3.363636364,0.863636364,-13.33560959,34.10671
2016,52,3.363636364,0.863636364,-13.33560959,34.10671
2016,52,3.363636364,0.863636364,-13.33560959,34.10671
2016,52,3.363636364,0.863636364,-13.33560959,34.10671
2016,50.98214286,3.392857143,0.928571429,-13.27501554,33.97999086
