FS_year,FCS,rCSI,rural,lat_modified,lon_modified
2014,52.4375,0.25,1,-4.870593278,31.72669337
2015,52.1875,0,1,-4.448472867,32.2399332
2015,46.5625,7.125,1,-8.884385656,31.95983899
2015,46.875,4,1,-8.181342546,31.98860599
2015,36.5,8,1,-7.40381822,30.67629254
2015,43.4375,15.875,0,-7.362931507,30.62597685
2015,46.1875,5.125,1,-3.892251072,30.62922859
2014,61,4.125,1,-3.90458892,30.33944043
2015,51.1875,0.25,1,-4.51287997,30.60446113
2015,35.75,11.875,1,-4.480451081,29.66872744
2015,41.8125,13.875,1,-4.809359863,29.60356291
2015,43.4375,5.75,0,-4.914457519,29.70375795
2014,50.75,3.875,0,-4.893931908,29.63741011
2015,66,0,1,-5.076621145,30.67651643
2015,71.1875,4.625,1,-4.252660128,30.07306518
2015,55.6875,4,1,-4.48478069,29.76893986
2015,47.5625,0,1,-4.587936284,30.12575037
2015,56.875,1.125,0,-4.593752112,30.08767378
2014,59.625,1.125,1,-3.617598744,33.54216805
2015,35.875,10.25,0,-3.552252601,33.54503404
2015,58,2.25,1,-3.315465141,33.45011325
2015,53,3.571428571,1,-3.866088797,33.9944479
2015,60.4375,3.125,1,-3.72171141,32.99231062
2014,55,5.75,1,-3.551870692,33.12856171
2015,59.5625,0,1,-3.713494612,33.13806163
2015,47.6875,6,1,-3.319339296,32.40801803
2015,46.25,1.125,1,-3.471039533,32.65633906
2014,67.125,5.125,1,-4.221989635,32.67984171
2015,53.3125,3,1,-3.859587982,32.15979165
2014,75.625,2.875,1,-4.174485125,32.08678506
2015,48.125,0.5,1,-3.881222909,32.68996785
2015,70.75,1,0,-3.850671516,32.61045792
2015,76.875,2.375,1,-1.368193491,31.13950798
2015,51.1875,8.75,1,-1.773822603,31.14945349
2015,58.625,5.625,1,-1.581036939,30.96686855
2015,58.8125,1.5,1,-1.261614267,31.85183296
2014,50.6875,1.375,1,-1.572397888,31.51138039
2015,55.75,5.875,1,-1.417564587,31.48875425
2014,46.875,2.5,1,-1.680202103,31.72050734
2015,43.875,4.625,1,-2.096406785,31.38167555
2014,62.5,14,1,-2.041003797,31.51835863
2015,78.42857143,7.142857143,1,-2.041003797,31.51835863
2015,70.5,2.875,1,-1.802502818,31.55109158
2014,90,0,1,-1.595455321,31.64014714
2015,70.92857143,0,1,-1.595455321,31.64014714
2015,49.5625,13.375,1,-2.788890026,31.43539558
2015,71.75,6,1,-3.158047879,31.32773606
2015,40.6875,15.25,1,-2.898701965,30.75142153
2015,52.875,6.125,1,-2.521094354,30.79015661
2015,77.25,7.25,0,-1.315337448,31.81735363
2014,61.1875,2.375,1,-1.153842517,31.77929414
2015,53.125,1.625,1,-1.334696783,30.6959461
2014,47,0.5,1,-1.116820352,30.90902963
2015,65.5,5.375,1,-1.516872156,30.88704822
2014,44,6.5,0,-2.102758509,33.07261294
2014,43.875,7.625,1,-2.111288781,33.03958465
2015,48.6875,17.375,1,-1.99625747,32.92869549
2014,60.1875,5.875,1,-2.562896301,33.03438772
2015,61.875,2,1,-2.653203064,33.43696517
2015,50.125,2.875,0,-2.507489389,32.90219798
2014,61.3125,4.5,0,-2.563063146,32.97288038
2015,43.8125,8,1,-2.773481907,33.19168421
2015,47,2,1,-3.205754614,33.43372658
2015,67.875,7.5,0,-2.963762935,33.3413359
2015,50.1875,1.875,1,-3.208693999,33.33307081
2015,53.75,0.75,1,-2.828391366,32.81970207
2014,52.375,13.125,1,-2.36019155,32.20269771
2015,62.25,8.125,1,-2.340418548,32.49509677
2014,43.625,17,0,-2.532659426,32.93905303
2015,59.125,6.625,0,-2.480425878,32.90738327
2015,39.375,4.25,1,-2.775327931,33.00637197
2015,68.125,3,1,-3.084427633,32.95909405
2015,46.35714286,9.571428571,1,-1.5331596,34.57186917
2015,46.875,18.75,1,-1.726895149,34.27392667
2015,71.5,4.875,1,-1.779409911,34.44536607
2015,52.0625,0,1,-1.88648094,33.73450182
2015,48.0625,5.875,1,-2.120531606,33.53369421
2015,49.35714286,3.714285714,0,-1.500693859,33.80962438
2015,49.1875,4.375,1,-1.298843377,33.99187767
2015,68,0.285714286,1,-1.810163215,34.08825542
2015,55.4375,9.5,1,-1.624962208,33.92579968
2015,59.375,3.5,1,-3.499669783,36.53162154
2014,72.75,0,1,-3.36467672,37.04618025
2014,71.375,3.5,0,-3.374689345,36.8331377
2015,84.875,0.875,1,-3.370862826,36.79723813
2015,65.375,5.75,0,-3.395935129,36.68738605
2014,76,2.125,0,-3.355157768,36.60778883
2015,59.5,4.5,1,-2.279175245,35.69719671
2015,66.125,5.25,1,-3.255846297,36.59967437
2015,40.1875,16.625,1,-3.063644476,36.74321142
2015,64.3125,1.375,1,-4.335904557,35.70368599
2014,44.875,0.625,1,-4.706229251,35.19889134
2015,52.8125,1.75,1,-4.57907423,35.52479213
2014,62.83333333,1,1,-3.986189648,35.56754861
2015,65.375,3.375,1,-3.576284189,37.00788532
2014,51.5625,0,0,-9.317077442,34.7485275
2015,33,8.5,1,-8.737525217,34.764719
2014,59.625,0,1,-9.119178861,34.53228347
2015,40.5,1.75,1,-9.053215,34.84791786
2015,54.9375,0.75,1,-10.14164707,34.58733771
2015,46.8125,13,0,-8.855329305,34.81596064
2015,48.4375,5.25,0,-6.342617331,31.05825359
2015,43.375,1.625,1,-6.120354397,30.94173118
2015,47.9375,7.625,0,-6.821230403,30.4229241
2015,46.1875,0.25,1,-6.727820015,32.03403446
2015,55.1875,4.75,1,-7.093726279,31.06652638
2015,47.3125,2,1,-7.246177822,31.38580001
2014,45.5625,4.375,1,-2.497086826,34.18643186
2015,42.875,6.25,1,-2.757951554,34.03878869
2015,47.25,8.875,1,-2.620348142,33.77425579
2015,41.8125,5.375,1,-2.44063748,34.12793897
2014,45,0,0,-2.797485642,33.99474992
2015,35.78571429,7.285714286,1,-2.931192657,34.41179789
2015,44.5,2.375,1,-3.012350194,33.91393926
2014,46.25,0,1,-3.642558876,34.29704102
2015,44.375,3,1,-3.946217891,34.30359608
2014,41.875,4.375,1,-3.180410485,34.31840957
2015,51.8125,1.875,1,-3.452131072,34.01653352
2015,43.0625,4,1,-3.111907378,33.77276991
2015,43.375,4.5,1,-3.199691372,33.51285223
2015,43.5,13.375,1,-2.373944017,33.6127491
2015,59.4375,5.5,0,-2.329541915,33.66655989
2015,44.875,9.25,1,-2.743856337,32.03983511
2015,50.5,1.25,1,-2.555948458,32.13414539
2015,62.625,7.375,1,-3.190474298,32.34475868
2015,55.125,0.5,1,-2.978369803,31.94330477
2014,47.875,1.5,0,-2.88551487,32.2190783
2015,71.9375,0.5,1,-3.013517658,32.5372311
2014,45.625,1.875,1,-3.282914473,31.94441442
2015,47.5625,9,1,-3.356622098,31.57330488
