,ea_id,FS_year,lat_modified,lon_modified,tz15_FCS_truth,tz_FCS_LR,tz_FCS_RFC,tz15_rCSI_truth,tz_rCSI_LR,tz_rCSI_RFC,tz_FCS_LR_error,tz_FCS_RFC_error,tz_rCSI_LR_error,tz_rCSI_RFC_error
58,140702104002,2015,-5.25948370924,31.723745099299997,0,0,0,0,0,1,0,0,0,-1
59,140708102002,2014,-4.870593278299999,31.7266933708,0,0,0,0,0,0,0,0,0,0
60,140714103001,2015,-4.44847286706,32.2399331993,0,0,0,0,0,0,0,0,0,0
61,150110105001,2015,-8.88438565649,31.959838989899996,0,0,0,1,0,0,0,0,1,1
62,150209106001,2015,-8.181342546489999,31.9886059865,0,0,0,0,0,0,0,0,0,0
63,150312301005,2015,-7.40381822038,30.6762925418,1,0,1,1,0,0,1,0,1,1
64,150312301301,2015,-7.362931507110001,30.625976851999997,0,0,0,1,0,0,0,0,1,1
65,160107101005,2015,-3.89225107208,30.6292285884,0,0,0,1,0,1,0,0,1,0
66,160201101006,2014,-3.9045889199199997,30.3394404333,0,0,0,1,0,1,0,0,1,0
67,160209101010,2015,-4.51287997048,30.6044611278,0,0,0,0,0,1,0,0,0,-1
68,160301102011,2015,-4.48045108121,29.668727440300003,1,0,0,1,0,0,1,1,1,1
69,160310101008,2015,-4.809359862719999,29.6035629093,1,0,0,1,1,1,1,1,0,0
70,160406203005,2015,-4.9144575188,29.7037579458,0,0,0,1,0,1,0,0,1,0
71,160418203020,2014,-4.89393190766,29.637410106,0,0,0,0,0,0,0,0,0,0
72,160510302003,2015,-5.07662114547,30.6765164263,0,0,0,0,0,0,0,0,0,0
73,160606102007,2015,-4.2526601283,30.073065177800004,0,0,0,1,1,1,0,0,0,0
74,160614104007,2015,-4.48478069035,29.768939862399996,0,0,0,0,0,1,0,0,0,-1
75,160807102004,2015,-4.58793628428,30.1257503687,0,0,0,0,0,1,0,0,0,-1
76,160808205005,2015,-4.59375211247,30.087673777800003,0,0,0,0,1,1,0,0,-1,-1
77,170102102003,2014,-3.6175987440199995,33.5421680476,0,0,0,0,0,0,0,0,0,0
78,170203305309,2015,-3.5522526009099997,33.5450340413,1,0,0,1,0,0,1,1,1,1
79,170204108006,2015,-3.31546514055,33.4501132517,0,0,0,0,0,0,0,0,0,0
80,170213102003,2015,-3.8660887972,33.994447902800005,0,0,0,0,0,0,0,0,0,0
81,170303103001,2015,-3.72171141045,32.9923106156,0,0,0,0,1,1,0,0,-1,-1
82,170310106002,2014,-3.5518706915599996,33.1285617086,0,0,0,1,0,0,0,0,1,1
83,170320104001,2015,-3.71349461199,33.1380616313,0,0,0,0,1,1,0,0,-1,-1
84,170402303014,2015,-3.3193392962299995,32.4080180332,0,0,0,1,0,0,0,0,1,1
85,170411101001,2015,-3.4710395328900003,32.6563390606,0,0,0,0,0,0,0,0,0,0
86,170418103004,2014,-4.22198963466,32.6798417124,0,0,0,1,0,0,0,0,1,1
87,170428102003,2015,-3.85958798206,32.1597916546,0,0,0,0,0,0,0,0,0,0
88,170434302002,2014,-4.17448512548,32.0867850568,0,0,0,0,0,0,0,0,0,0
89,170510302004,2015,-3.8812229085400003,32.689967845,0,0,0,0,1,0,0,0,-1,0
90,170514301305,2015,-3.85067151631,32.6104579184,0,0,0,0,1,0,0,0,-1,0
91,180102103015,2015,-1.3681934906200002,31.1395079776,0,0,0,0,0,1,0,0,0,-1
92,180112103001,2015,-1.7738226030900002,31.1494534901,0,0,0,1,0,1,0,0,1,0
93,180119102003,2015,-1.58103693856,30.9668685502,0,0,0,1,0,1,0,0,1,0
94,180205102011,2015,-1.26161426721,31.851832957800003,0,0,0,0,0,1,0,0,0,-1
95,180216103006,2014,-1.57239788769,31.511380394899998,0,0,0,0,0,1,0,0,0,-1
96,180226304004,2015,-1.41756458729,31.488754248200003,0,0,0,1,1,1,0,0,0,0
97,180308105003,2014,-1.68020210285,31.720507340300003,0,0,0,0,0,1,0,0,0,-1
