,ea_id,FS_year,lat_modified,lon_modified,ug12_FCS_truth,ug_FCS_LR,ug_FCS_RFC,ug_FCS_LR_error,ug_FCS_RFC_error
0,10130002,2012,-0.269274953752756,32.3096862792969,0,0,0,0,0
3,10210001,2012,0.33318766951561,32.5706558227539,0,0,0,0,0
4,10210002,2012,0.31304475665092496,32.5691452026367,1,0,0,1,1
5,10210003,2012,0.303095519542694,32.5733451843262,0,0,0,0,0
6,10210004,2012,0.345752984285355,32.5462989807129,0,0,0,0,0
7,10210005,2012,0.37804904580116294,32.594127655029304,0,0,0,0,0
8,10210006,2012,0.371428996324539,32.5650596618652,0,0,0,0,0
9,10210007,2012,0.36514076590538,32.597015380859396,0,0,0,0,0
10,10210008,2012,0.46393904834985705,32.7724905014038,0,0,0,0,0
12,10210010,2012,0.3459979295730589,32.583225250244105,1,0,0,1,1
13,10210011,2012,0.28084063033262896,32.6167825063069,0,0,0,0,0
15,10210012,2012,0.31279653310775796,32.6114730834961,0,0,0,0,0
16,10210013,2012,0.303221106529236,32.6197471618652,1,0,0,1,1
17,10210014,2012,0.29420541971921993,32.5712566375733,0,0,0,0,0
19,10210015,2012,0.30577756961186797,32.5929807027181,0,0,0,0,0
20,10210017,2012,0.273187041282654,32.6248092651367,0,0,0,0,0
21,10210018,2012,0.295154541730881,32.5853996276855,0,0,0,0,0
22,10210019,2012,0.34805910289287606,32.5531883239746,0,0,0,0,0
23,10210020,2012,0.34478223323822,32.587532043456996,0,0,0,0,0
24,10210021,2012,0.36772006750106795,32.6239585876465,0,0,0,0,0
25,10210022,2012,0.36840435862541204,32.590255737304695,0,0,0,0,0
26,10210023,2012,0.32818478345871,32.6340675354004,0,0,0,0,0
27,10210024,2012,0.32192760705947904,32.638088226318395,0,0,0,0,0
28,10210025,2012,0.417212635278702,33.2152442932129,0,0,0,0,0
30,10210026,2012,0.305940717458725,32.529144287109396,0,0,0,0,0
31,10210027,2012,0.289859712123871,32.553035736084,0,0,0,0,0
32,10210028,2012,0.35676729679107705,32.5571060180664,0,0,0,0,0
33,10210029,2012,0.330750405788422,32.542140960693395,0,0,0,0,0
34,10210031,2012,0.279319494962692,32.566051483154304,0,0,0,0,0
35,10210034,2012,0.30460998415947,32.543773651123,0,0,0,0,0
36,10330003,2012,0.747895404696465,31.964910825093604,0,0,0,0,0
38,10330005,2012,0.9189759269356729,31.593859910964998,0,0,0,0,0
39,10410002,2012,0.694203019142151,32.5288293021066,0,0,0,0,0
40,10430004,2012,0.5698214173316961,32.6633548736572,0,0,0,0,0
42,10430006,2012,0.586551722884178,32.6633785247803,0,0,0,0,0
44,10430008,2012,0.7637397736310959,32.5223289489746,0,0,0,0,0
46,10430011,2012,0.614613443613052,32.403844833374,0,0,0,0,0
47,10430013,2012,0.998287368565802,32.1952967643738,0,0,0,0,0
50,10510001,2012,-0.34314712882041903,31.725313186645497,0,0,0,0,0
51,10510003,2012,-0.142147570848465,31.8796768188477,0,0,0,0,0
52,10530004,2012,0.00432529449462884,31.820279693603503,0,0,0,0,0
54,10530008,2012,-0.24315828830003697,31.655190229415897,0,0,0,0,0
55,10530012,2012,-0.344247996807098,31.571664810180696,0,0,0,0,0
56,10530015,2012,-0.471200257539749,31.3637866973877,1,0,0,1,1
57,10530019,2012,-0.5223863124847411,31.355342864990202,0,0,0,0,0
58,10530023,2012,-0.576782405376434,31.691637039184602,0,0,0,0,0
59,10530026,2012,-0.294749784469605,31.784953308105397,0,0,0,0,0
61,10530030,2012,-0.314625114202499,31.7481575012207,0,0,0,0,0
64,10530033,2012,-0.00913525846871445,31.8355352228338,0,1,0,-1,0
66,10630003,2012,0.127259234152734,31.8358654022217,0,0,0,0,0
69,10630005,2012,0.24421430627504997,31.818261888292103,0,0,0,0,0
71,10630007,2012,0.0716098621487617,32.0928726196289,0,0,0,0,0
72,10630009,2012,0.196654409170151,32.2552299499512,1,0,1,1,0
73,10710001,2012,0.5167036503553389,31.537596702575698,0,0,0,0,0
75,10710002,2012,0.390713512897491,32.073822021484396,0,0,0,0,0
76,10730004,2012,0.341261197220195,32.091140226884306,0,0,0,0,0
78,10730008,2012,0.21303451061248802,31.0526390075684,0,0,0,0,0
79,10730012,2012,0.5465080307589639,31.5278633965386,0,0,0,0,0
82,10730016,2012,0.618869245052338,31.7401390075684,0,0,0,0,0
84,10730020,2012,0.456248924136162,31.8614171346029,0,0,0,0,0
86,10730023,2012,0.585501591364542,31.729451285468198,0,0,0,0,0
88,10730027,2012,0.41813850998878493,32.0206787109375,0,0,0,0,0
90,10730031,2012,0.5499470404216221,32.166387285504996,0,0,0,0,0
91,10810002,2012,0.341194814443588,32.8744781494141,0,0,0,0,0
93,10810003,2012,0.41141748428344704,33.141368865966804,0,0,0,0,0
94,10830006,2012,0.323563059171041,33.156506856282604,0,0,0,0,0
96,10830009,2012,0.369690954685211,33.1874313354492,0,0,0,0,0
97,10830013,2012,0.37626343965530396,33.191013336181605,1,0,0,1,1
98,10830016,2012,0.246645460526148,33.4640324910482,0,0,0,0,0
100,10830020,2012,0.428337370807474,32.8013919483532,0,0,0,0,0
103,10830023,2012,0.401288786104747,32.6670368739537,0,0,0,0,0
105,10830027,2012,0.5842454880475999,32.790678024292,0,0,0,0,0
106,10830030,2012,0.684824407100677,32.8292083740234,0,0,0,0,0
107,10830033,2012,0.625139534473419,32.919586181640604,0,0,0,0,0
108,10930004,2012,1.57974510926466,32.199464064378,0,1,0,-1,0
109,10930004,2012,1.57974510926466,32.199464064378,0,0,0,0,0
111,11010001,2012,-0.5268514288796321,31.6453751458062,0,0,0,0,0
113,11030003,2012,-0.282008563478787,31.224967956543,0,0,0,0,0
115,11030005,2012,-0.856315857172013,31.6973686218262,0,0,0,0,0
117,11030007,2012,-0.52874019742012,31.185583114624,0,0,0,0,0
119,11030009,2012,-0.312249395996332,31.6389083862305,0,0,0,0,0
122,11030012,2012,-0.394575744867325,31.751677376883396,0,0,0,0,0
123,11130001,2012,0.14536674320697798,31.2310600280762,0,0,0,0,0
124,11130003,2012,-0.292247772216797,31.4787216186523,0,0,0,0,0
125,11130005,2012,-0.151469630273906,31.434137517755698,0,0,0,0,0
126,11210001,2012,0.726580560207367,32.9185066223145,0,0,0,0,0
127,11230003,2012,0.82723480463028,32.844085693359396,0,0,0,0,0
128,11230006,2012,0.7329102158546451,32.9587593078613,0,0,0,0,0
129,11310002,2012,0.0677282065153122,32.4715919494629,0,0,0,0,0
130,11310003,2012,0.218554243445396,32.5398979187012,0,0,0,0,0
131,11310004,2012,0.35012742877006503,32.6699867248535,0,0,0,0,0
132,11310006,2012,0.375993281602859,32.5358734130859,0,0,0,0,0
133,11310007,2012,0.261842280626297,32.556755065918004,0,0,0,0,0
134,11330008,2012,0.40158690512180395,32.4207935333252,1,0,0,1,1
137,11330010,2012,0.0393437594175339,32.5403861999512,0,0,0,0,0
139,11330012,2012,0.26568061113357505,32.462757110595696,0,0,0,0,0
140,11330014,2012,0.160929515957832,32.552932739257805,0,0,0,0,0
141,11330016,2012,0.326053887605667,32.510406494140604,0,0,0,0,0
142,11330019,2012,0.34771341085434004,32.6829795837402,0,0,0,0,0
143,11330021,2012,0.34963497519493103,32.5372314453125,0,0,0,0,0
144,11330023,2012,0.25586113333702104,32.6040191650391,1,0,1,1,0
145,11330025,2012,0.280226580798626,32.5478102366129,0,0,0,0,0
146,20130004,2012,0.439622379266299,33.7790172283466,1,0,0,1,1
147,20130006,2012,0.317791751027108,33.884341049194305,1,0,0,1,1
149,20130008,2012,0.7122136652469641,33.6939678192139,0,1,0,-1,0
153,20130009,2012,0.103999450802803,33.783092498779304,1,0,0,1,1
154,20210001,2012,0.46774822473526,34.0916976928711,1,0,0,1,1
155,20230005,2012,0.490654230117798,34.091770172119105,1,0,0,1,1
156,20230007,2012,0.38901540637016296,34.0578117370605,1,0,0,1,1
157,20310001,2012,0.6159048080444339,33.4700546264648,0,0,0,0,0
158,20310004,2012,0.623697280883789,33.474147796630895,0,0,0,0,0
159,20330008,2012,0.551625669002533,33.618896484375,0,0,1,0,-1
160,20330013,2012,0.8873898359862241,33.5105604691939,0,0,0,0,0
162,20330018,2012,0.6304515749216079,33.3324527740479,0,0,0,0,0
