,ea_id,FS_year,lat_modified,lon_modified,mw16_FCS_truth,mw_FCS_LR,mw_FCS_RFC,mw16_rCSI_truth,mw_rCSI_LR,mw_rCSI_RFC,mw_FCS_LR_error,mw_FCS_RFC_error,mw_rCSI_LR_error,mw_rCSI_RFC_error
173,21037536,2016,-14.2285944444444,34.0011918333333,0,0,0,0,0,0,0,0,0,0
179,21037536,2016,-14.2285944444444,34.0011918333333,0,0,0,0,1,0,0,0,-1,0
183,21048764,2016,-14.222478193548401,34.086274741935505,0,0,0,0,0,0,0,0,0,0
187,21048764,2016,-14.222478193548401,34.086274741935505,0,0,0,0,1,0,0,0,-1,0
195,21051203,2016,-14.00389675,33.8031428125,0,0,0,1,1,0,0,0,0,1
202,21055241,2016,-13.971086499999998,33.8382457916667,0,0,0,0,0,0,0,0,0,0
204,21055241,2016,-13.971086499999998,33.8382457916667,0,0,0,0,1,0,0,0,-1,0
211,21055693,2016,-13.8194186842105,33.803935631578895,0,0,0,0,1,0,0,0,-1,0
212,21055693,2016,-13.8194186842105,33.803935631578895,0,0,0,0,0,0,0,0,0,0
215,21066096,2016,-14.0326286875,33.78759375,0,0,0,0,1,0,0,0,-1,0
219,21066339,2016,-13.9081036956522,33.9577759130435,0,0,0,1,0,0,0,0,1,1
226,21080308,2016,-14.024849966666698,33.971811666666696,0,0,0,1,1,0,0,0,0,1
234,21081573,2016,-14.124618,34.0938053125,0,0,0,1,1,0,0,0,0,1
239,21086069,2016,-13.953,33.7174,0,0,0,1,0,1,0,0,1,0
242,21086069,2016,-13.953,33.7174,0,0,0,1,1,1,0,0,0,0
243,21086436,2016,-13.8828857826087,33.7142739130435,0,0,0,1,0,0,0,0,1,1
245,30101280,2016,-14.403731400000002,35.23490092,0,0,1,1,1,1,0,-1,0,0
246,30101280,2016,-14.403731400000002,35.23490092,0,0,0,1,0,1,0,0,1,0
248,30103074,2016,-14.47762505,34.82219845,1,0,0,1,1,1,1,1,0,0
252,30104708,2016,-14.3308628888889,35.4119323888889,1,0,0,1,1,0,1,1,0,1
254,30105325,2016,-14.582206142857098,35.5274565714286,1,0,0,1,1,0,1,1,0,1
261,30109724,2016,-14.131024647058801,35.2125449411765,0,0,0,1,1,1,0,0,0,0
263,30202252,2016,-15.11732684,35.19747460000001,0,0,0,1,0,0,0,0,1,1
267,30212307,2016,-14.7322429047619,35.5981195238095,1,0,0,1,1,1,1,1,0,0
273,30302601,2016,-15.397812076923099,35.374132153846205,1,0,0,1,1,0,1,1,0,1
280,30305082,2016,-15.297613,35.301854,1,0,0,2,1,0,1,1,1,2
281,30305082,2016,-15.297613,35.301854,1,0,0,2,1,1,1,1,1,1
284,30305580,2016,-15.6720956785714,35.324011107142894,1,0,0,1,1,0,1,1,0,1
288,30306555,2016,-15.482301588235302,35.155652,0,0,0,1,1,0,0,0,0,1
292,30403444,2016,-15.80400775,35.260630375,0,0,0,0,1,0,0,0,-1,0
293,30403444,2016,-15.80400775,35.260630375,0,0,0,0,1,1,0,0,-1,-1
299,30406710,2016,-15.486358,35.1843506521739,1,0,0,1,1,0,1,1,0,1
303,30501383,2016,-15.6556,35.0184,0,0,0,1,2,0,0,0,-1,1
304,30501383,2016,-15.6556,35.0184,0,0,0,1,1,0,0,0,0,1
305,30504518,2016,-15.709845055555599,34.8394282777778,1,0,0,1,1,0,1,1,0,1
307,30602235,2016,-15.703274052631599,34.4635718947368,0,0,0,0,1,1,0,0,-1,-1
311,30620196,2016,-15.612332,34.6646635238095,0,0,0,0,1,0,0,0,-1,0
317,30704313,2016,-16.0116349615385,35.0413053076923,0,0,0,1,1,0,0,0,0,1
320,30705391,2016,-16.0883334285714,35.1046747142857,0,0,0,0,1,0,0,0,-1,0
323,30708665,2016,-16.0591878125,35.2329269375,0,0,0,1,1,0,0,0,0,1
328,30709438,2016,-15.92721808,35.11229628,0,0,0,0,1,0,0,0,-1,0
331,30801672,2016,-16.096926272727302,35.391133954545495,1,0,1,1,1,0,1,0,0,1
332,30801672,2016,-16.096926272727302,35.391133954545495,1,0,0,1,1,0,1,1,0,1
333,30801679,2016,-15.9620268823529,35.548045235294104,1,0,0,1,1,0,1,1,0,1
337,30803115,2016,-16.0305582068966,35.344806275862105,1,0,0,1,1,1,1,1,0,0
338,30803115,2016,-16.0305582068966,35.344806275862105,1,0,0,1,0,1,1,1,1,0
340,30806611,2016,-15.7949807826087,35.386465,1,0,0,1,1,1,1,1,0,0
343,30901054,2016,-15.5203632692308,35.458640730769204,1,0,0,1,1,1,1,1,0,0
348,30901475,2016,-15.430342916666698,35.502399458333294,1,0,0,1,1,0,1,1,0,1
353,31002169,2016,-16.112656599999998,34.92093675,1,0,0,1,1,0,1,1,0,1
