"","ea_id","FS_year","lat_modified","lon_modified","FNID"
"1",10101016,2010,-9.80998,33.3873,"MW2012C3010102"
"2",10101204,2010,-9.89498,33.381,"MW2012C3010102"
"3",10101215,2010,-9.50446,33.2302,"MW2012C3010102"
"4",10101219,2011,-9.59461,33.4041,"MW2012C3010102"
"5",10101355,2011,-9.73457,33.4072,"MW2012C3010102"
"6",10101374,2010,-9.58702,33.2181,"MW2012C3010102"
"7",10101470,2010,-9.66271,33.2524,"MW2012C3010102"
"8",10101562,2010,-9.66792,33.3937,"MW2012C3010107"
"9",10101568,2010,-9.73771,33.2608,"MW2012C3010102"
"10",10101706,2010,-9.53646,33.3866,"MW2012C3010102"
"11",10102004,2010,-9.74823,33.5035,"MW2012C3010107"
"12",10102379,2010,-9.58159,33.5919,"MW2012C3010107"
"13",10102621,2011,-9.71323,33.452,"MW2012C3010107"
"14",10103414,2010,-9.9716,33.3739,"MW2012C3010102"
"15",10103452,2010,-10.0371,33.4541,"MW2012C3010102"
"16",10103681,2011,-10.2009,33.5987,"MW2012C3010102"
"17",10104150,2010,-10.1988,33.6635,"MW2012C3010102"
"18",10104351,2010,-10.2588,33.6117,"MW2012C3010102"
"19",10104440,2010,-10.4099,33.6378,"MW2012C3010102"
"20",10105352,2010,-9.59448,33.0885,"MW2012C3010102"
"21",10105511,2011,-9.40349,32.9793,"MW2012C3010102"
"22",10105513,2010,-9.50726,33.1187,"MW2012C3010102"
"23",10120286,2011,-9.70903,33.2832,"MW2012C3010102"
"24",10120288,2010,-9.69013,33.2899,"MW2012C3010102"
"25",10201137,2010,-9.7681,33.8951,"MW2012C3010210"
"26",10201210,2011,-9.78425,33.8302,"MW2012C3010210"
"27",10201247,2010,-9.79564,33.8455,"MW2012C3010210"
"28",10201442,2010,-9.7123,33.9271,"MW2012C3010210"
"29",10201688,2010,-9.84483,33.8737,"MW2012C3010210"
"30",10202195,2011,-9.66376,33.673,"MW2012C3010107"
"31",10202514,2010,-9.68146,33.8498,"MW2012C3010210"
"32",10203013,2010,-10.0022,33.6685,"MW2012C3010201"
"33",10203085,2010,-9.9136,33.9174,"MW2012C3010210"
"34",10203176,2010,-9.87305,33.6206,"MW2012C3010201"
"35",10203221,2011,-9.93924,33.8608,"MW2012C3010201"
"36",10203623,2010,-10.17,33.8034,"MW2012C3010201"
"37",10203744,2010,-10.0405,33.9087,"MW2012C3010201"
"38",10204101,2011,-10.4471,34.2148,"MW2012C3010209"
"39",10204322,2010,-10.4462,34.1193,"MW2012C3010209"
"40",10204453,2011,-10.3575,34.1277,"MW2012C3010209"
"41",10204586,2010,-10.4163,34.2318,"MW2012C3010209"
"42",10204723,2010,-10.5563,34.1873,"MW2012C3010209"
"43",10205202,2010,-10.2563,34.1191,"MW2012C3010209"
"44",10205507,2010,-10.3123,34.0707,"MW2012C3010209"
"45",10220027,2011,-9.9359,33.9152,"MW2012C3010201"
"46",10220103,2010,-9.9754,33.926,"MW2012C3010201"
"47",10220521,2010,-9.94852,33.8963,"MW2012C3010201"
"48",10220705,2010,-9.93128,33.9324,"MW2012C3010201"
"49",10301026,2011,-11.6552,33.7611,"MW2012C3010309"
"50",10301306,2011,-11.495,33.9723,"MW2012C3010508"
"51",10301347,2010,-11.7131,33.9378,"MW2012C3010309"
"52",10301663,2010,-11.6477,34.125,"MW2012C3010309"
"53",10301741,2010,-11.6376,34.0964,"MW2012C3010309"
"54",10302010,2010,-11.964,34.0768,"MW2012C3010311"
"55",10303454,2010,-11.8911,34.1115,"MW2012C3010311"
"56",10304012,2010,-11.8362,34.1621,"MW2012C3010311"
"57",10304360,2011,-11.8374,34.1483,"MW2012C3010311"
"58",10304625,2010,-11.766,34.1558,"MW2012C3010311"
"59",10305446,2010,-12.1525,34.0251,"MW2012C3010311"
