fid,field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR,LZNAMESP,LZNAMEPT,CLASS
1,398,40430010,-1.3802142,30.010633,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
2,629,40430006,-1.2552155,30.05682,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
3,630,40430008,-1.4049954,29.94939,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
4,631,40430008,-1.4679339,29.923145,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
5,632,40430008,-1.2412956,29.774176,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
6,633,40430010,-1.1662191,29.794294,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
7,634,40430012,-1.1572623,30.06245,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
8,652,40830002,-1.1506003,29.672838,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
9,653,40830004,-1.3408513,29.768257,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
10,654,40830004,-1.1503154,29.591431,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
11,670,41130007,-1.1914228,29.810253,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
12,1187,4040006,-1.2552155,30.05682,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
13,1188,4040008,-1.4049954,29.94939,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
14,1189,4040008,-1.4679339,29.923145,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
15,1190,4040008,-1.2412956,29.774176,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
16,1192,4040010,-1.1662191,29.794294,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
17,1193,4040010,-1.3802142,30.010633,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
18,1194,4040012,-1.1572623,30.06245,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
19,1211,4080002,-1.1506003,29.672838,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
20,1212,4080004,-1.3408513,29.768257,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
21,1213,4080004,-1.1503154,29.591431,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
22,1229,4110007,-1.1914228,29.810253,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
23,1894,4040006,-1.255216,30.05682,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
24,1895,NA,-1.255216,30.05682,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
25,1896,4040008,-1.404995,29.94939,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
26,1897,NA,-1.404995,29.94939,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
27,1898,NA,-1.467934,29.923145,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
28,1899,NA,-1.2412961,29.774176,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
29,1900,4040010,-1.166219,29.794294,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
30,1901,NA,-1.380214,30.010633,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
31,1902,4040012,-1.157262,30.06245,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
32,1921,4080002,-1.1506,29.672838,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
33,1922,NA,-1.1506,29.672838,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
34,1923,4080004,-1.3408509,29.768257,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
35,1925,NA,-1.150315,29.591431,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
36,1926,NA,-1.3408509,29.768257,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
37,1946,NA,-1.1914231,29.810253,UG2011L101,2011,UG,1,UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
38,391,40230016,-0.61905372,29.943525,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
39,400,41030026,-0.56057221,30.678801,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
40,402,41030038,-0.65430301,30.384218,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
41,403,41110002,-0.94678497,30.312031,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
42,405,41030014,0.014829836,30.520327,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
43,407,41030017,-0.22739641,30.402168,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
44,409,41030023,-0.85529506,30.659582,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
45,608,40210002,-0.4921464,30.514168,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
46,609,40230007,-0.30397952,30.378496,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
47,610,40230011,-0.26006278,30.129675,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
48,611,40230016,-0.5497967,30.067522,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
49,612,40230016,-0.60349363,29.99411,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
50,614,40230016,-0.5392192,30.705593,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
51,615,40230020,-0.55377346,30.303692,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
52,617,40230025,-0.52835584,29.95418,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
53,618,40230025,-0.53699541,30.017317,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
54,619,40230030,-0.56736475,30.426624,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
55,661,41030029,-0.32303834,30.594793,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
56,663,41030038,-0.74503881,30.424814,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
57,664,41030038,-0.69743824,30.477415,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
58,667,41130004,-0.76057076,30.179094,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
59,668,41130006,-0.86766326,30.354115,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
60,669,41130007,-0.98233658,30.459738,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
61,671,41130009,-0.98717684,30.129835,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
62,674,41230003,-0.96490079,29.959688,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
63,675,41230005,-0.64043075,29.805983,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
64,678,41330005,-0.10503817,30.264219,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
65,692,41030014,0.080801003,30.489553,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
66,1168,4020002,-0.4921464,30.514168,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
67,1169,4020007,-0.30397952,30.378496,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
68,1171,4020011,-0.26006278,30.129675,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
