clust,fnid
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10101016,MW2012C3010102
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010210
10202514,MW2012C3010201
10202514,MW2012C3010210
10202514,MW2012C3010210
10304012,MW2012C3010311
10304012,MW2012C3020103
10304012,MW2012C3999918
10304012,MW2012C3010311
10304012,MW2012C3010311
10304012,MW2012C3010311
10304012,MW2012C3020103
10304012,MW2012C3010311
10304012,MW2012C3010311
10304012,MW2012C3030716
10304012,MW2012C3020619
10304012,MW2012C3010311
10304012,MW2012C3010508
10304012,MW2012C3010311
10304012,MW2012C3010311
10304012,MW2012C3010311
10304012,MW2012C3010311
10304012,MW2012C3010311
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10503367,MW2012C3010508
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010517
10509319,MW2012C3010508
10509319,MW2012C3010517
10746033,MW2012C3010311
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
10746033,MW2012C3010508
20113112,MW2012C3020803
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020603
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20113112,MW2012C3020103
20206362,MW2012C3020211
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020603
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20206362,MW2012C3020213
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020103
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20407398,MW2012C3020403
20508349,MW2012C3020513
20508349,MW2012C3020513
20508349,MW2012C3020513
20508349,MW2012C3020513
20508349,MW2012C3020211
20508349,MW2012C3020513
20508349,MW2012C3020513
20607315,MW2012C3020403
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3010210
20607315,MW2012C3020619
20607315,MW2012C3020403
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020103
20607315,MW2012C3020603
20607315,MW2012C3020603
20607315,MW2012C3020303
20607315,MW2012C3020603
20607315,MW2012C3020603
