"ea_id","FS_year","lat_modified","lon_modified","country"
10101016,2010,-9.80998039245605,33.3872985839844,"mw"
10101204,2010,-9.89498043060303,33.3810005187988,"mw"
10101215,2010,-9.50446033477783,33.2302017211914,"mw"
10101219,2011,-9.5946102142334,33.4040985107422,"mw"
10101355,2011,-9.73456954956055,33.4071998596191,"mw"
10101374,2010,-9.58701992034912,33.2181015014648,"mw"
10101470,2010,-9.66271018981934,33.2523994445801,"mw"
10101562,2010,-9.66792011260986,33.3936996459961,"mw"
10101568,2010,-9.73770999908447,33.260799407959,"mw"
10101706,2010,-9.53645992279053,33.3866004943848,"mw"
10102004,2010,-9.74822998046875,33.5035018920898,"mw"
10102379,2010,-9.5815896987915,33.5918998718262,"mw"
10102621,2011,-9.71323013305664,33.4519996643066,"mw"
10103414,2010,-9.97159957885742,33.3739013671875,"mw"
10103452,2010,-10.0370998382568,33.4541015625,"mw"
10103681,2011,-10.2009000778198,33.5987014770508,"mw"
10104150,2010,-10.1988000869751,33.663501739502,"mw"
10104351,2010,-10.2587995529175,33.6116981506348,"mw"
10104440,2010,-10.4098997116089,33.6377983093262,"mw"
10105352,2010,-9.59447956085205,33.0885009765625,"mw"
10105511,2011,-9.40349006652832,32.9793014526367,"mw"
10105513,2010,-9.5072603225708,33.1186981201172,"mw"
10120286,2011,-9.70903015136719,33.2831993103027,"mw"
10120288,2010,-9.69013023376465,33.2899017333984,"mw"
10201137,2010,-9.76809978485107,33.8950996398926,"mw"
10201210,2011,-9.78425025939941,33.8302001953125,"mw"
10201247,2010,-9.79563999176025,33.8455009460449,"mw"
10201442,2010,-9.71230030059814,33.9271011352539,"mw"
10201688,2010,-9.84482955932617,33.8736991882324,"mw"
10202195,2011,-9.6637601852417,33.6730003356934,"mw"
10202514,2010,-9.6814603805542,33.8498001098633,"mw"
10203013,2010,-10.0022001266479,33.6684989929199,"mw"
10203085,2010,-9.91359996795654,33.9174003601074,"mw"
10203176,2010,-9.87304973602295,33.6206016540527,"mw"
10203221,2011,-9.93924045562744,33.8608016967773,"mw"
10203623,2010,-10.1700000762939,33.8033981323242,"mw"
10203744,2010,-10.0404996871948,33.9086990356445,"mw"
10204101,2011,-10.4470996856689,34.2148017883301,"mw"
10204322,2010,-10.4462003707886,34.1193008422852,"mw"
10204453,2011,-10.3575000762939,34.1277008056641,"mw"
10204586,2010,-10.4162998199463,34.2318000793457,"mw"
10204723,2010,-10.556300163269,34.1873016357422,"mw"
10205202,2010,-10.2562999725342,34.1190986633301,"mw"
10205507,2010,-10.3122997283936,34.0707015991211,"mw"
10220027,2011,-9.93589973449707,33.9151992797852,"mw"
10220103,2010,-9.9753999710083,33.9259986877441,"mw"
10220521,2010,-9.94851970672607,33.8963012695312,"mw"
10220705,2010,-9.9312801361084,33.9323997497559,"mw"
10301026,2011,-11.6552000045776,33.761100769043,"mw"
10301306,2011,-11.4949998855591,33.9723014831543,"mw"
10301347,2010,-11.7131004333496,33.937801361084,"mw"
