"","ea_id","lat_modified","lon_modified"
"1",10101215,-9.50446,33.2302
"2",10101215,-9.582955,33.311496
"3",10101215,-9.967245,33.908173
"4",10101215,-9.711079,33.886479
"5",10101215,-9.548116,33.196107
"6",10101215,-11.442373,33.99354
"7",10103414,-9.9716,33.3739
"8",10103414,-10.010425,33.400512
"9",10103414,-9.781527,33.457407
"10",10103414,-11.919669,33.629592
"11",10220103,-9.9754,33.926
"12",10220103,-10.380389,34.09918
"13",10220103,-9.82693,33.872847
"14",10302010,-11.964,34.0768
"15",10302010,-12.029085,34.00436
"16",10302010,-11.933794,34.115984
"17",10308636,-11.5364,34.278
"18",10308636,-11.52147,34.200863
"19",10308636,-11.620827,34.265331
"20",10308636,-15.715793,35.011122
"21",10502268,-11.285,33.7785
"22",10502268,-11.321771,33.84153
"23",10502268,-11.36664,33.853241
"24",10502268,-11.366113,33.844476
"25",10502268,-11.355296,33.802462
"26",10502268,-15.76443,35.009395
"27",10502268,-11.458614,33.67054
"28",10502268,-11.438895,34.002059
"29",10505310,-11.3125,33.4799
"30",10502268,-11.360674,33.869975
"31",10505310,-11.586695,33.330298
"32",10505310,-11.288232,33.628633
"33",10505310,-11.230223,33.853943
"34",10732192,-11.4076,33.9949
"35",10732192,-10.345701,33.685634
"36",10732192,-11.245849,33.790584
"37",10732192,-11.399844,33.940719
"38",10732192,-14.005941,33.778583
"39",10732192,-13.962669,33.733803
"40",10732192,-13.767854,33.79593
"41",10732192,-11.349174,33.888682
"42",10734370,-11.433,34.0235
"43",10734370,-11.622414,34.284431
"44",10734370,-11.022455,33.86265
"45",10734370,-13.975879,33.808283
"46",10734370,-16.103328,34.514921
"47",10734370,-11.130258,33.796742
"48",10735173,-11.4669,34.0078
"49",10735173,-11.443809,33.992497
"50",10735173,-11.404603,33.631339
"51",10735173,-11.551744,34.194054
"52",10735173,-11.534314,34.185254
"53",10735173,-9.663556,33.240057
"54",10735173,-13.788981,34.410934
"55",10735173,-9.84429,33.837671
"56",10744649,-11.4736,34.0151
"57",10735173,-13.999103,33.810892
"58",10744649,-11.32311,34.096558
"59",10744649,-11.576344,34.174133
"60",10744649,-15.399129,35.332564
"61",10744649,-14.307212,34.362734
"62",10744649,-11.909332,33.614972
"63",10744649,-12.191208,33.619191
"64",10746033,-11.4608,33.9739
"65",10746033,-11.367376,33.884696
"66",10746033,-11.73752,33.516527
"67",10746033,-11.491592,34.228453
"68",10746033,-11.66403,34.111631
"69",10746033,-12.352419,33.639329
"70",10746033,-11.856406,33.685067
"71",10746033,-11.859995,33.643545
"72",10746033,-11.347255,33.755875
"73",10746033,-11.412936,33.817946
"74",20111718,-13.3488,33.4404
"75",20112661,-12.8816,33.7268
"76",20111718,-13.31234,33.39046
"77",20111718,-13.457662,33.501687
"78",20111718,-13.282123,33.12098
"79",20111718,-13.664175,33.572176
"80",20112661,-14.045579,34.103975
"81",20111718,-13.254248,33.234461
"82",20111718,-13.343837,33.310534
"83",20111718,-13.145942,33.412396
"84",20111718,-13.436331,33.391445
"85",20111718,-13.255026,33.190747
"86",20111718,-13.423411,33.398091
"87",20112661,-12.80497,33.770068
"88",20112661,-12.911197,33.654471
"89",20111718,-14.895711,35.245908
"90",20111718,-13.339412,33.379215
"91",20112661,-13.860362,33.05119
"92",20111718,-13.42135,33.11992
"93",20112661,-13.642986,33.634896
"94",20111718,-13.310418,33.294775
"95",20112661,-12.753457,33.680554
"96",20112661,-12.785919,33.761189
"97",20112661,-12.539384,33.488942
"98",20111718,-12.363742,33.548267
"99",20205207,-13.35,34.2705
"100",20206362,-13.219358,34.17073
"101",20206362,-13.274,34.1404
"102",20206362,-13.361694,33.928379
"103",20206362,-13.38691,34.120244
"104",20206362,-13.235342,34.169053
"105",20206362,-14.003467,33.826832
"106",20205207,-13.334919,34.282692
"107",20206362,-13.219056,34.261779
"108",20205207,-14.979432,34.958133
"109",20205207,-12.947394,34.235151
"110",20205207,-13.387617,34.22984
"111",20205207,-13.029165,33.829025
"112",20206362,-13.921836,33.7731
"113",20306557,-13.3314,33.8581
"114",20303065,-13.952477,33.655928
"115",20303065,-13.2305,34.0093
"116",20303065,-13.341967,34.137248
"117",20303065,-13.342081,33.905692
"118",20306557,-13.388702,33.819979
