field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR,LZNAMESP,LZNAMEPT,CLASS
"360","40430010",-1.38021,30.01063,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"577","40430006",-1.25522,30.05682,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"578","40430008",-1.40500,29.94939,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"579","40430008",-1.46793,29.92315,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"580","40430008",-1.24130,29.77418,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"581","40430010",-1.16622,29.79429,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"582","40430012",-1.15726,30.06245,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"599","40830002",-1.15060,29.67284,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"600","40830004",-1.34085,29.76826,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"601","40830004",-1.15032,29.59143,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"616","41130007",-1.19142,29.81025,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1118","4040006",-1.25522,30.05682,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1119","4040008",-1.40500,29.94939,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1120","4040008",-1.46793,29.92315,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1121","4040008",-1.24130,29.77418,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1122","4040010",-1.16622,29.79429,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1123","4040010",-1.38021,30.01063,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1124","4040012",-1.15726,30.06245,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1140","4080002",-1.15060,29.67284,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1141","4080004",-1.34085,29.76826,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1142","4080004",-1.15032,29.59143,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1158","4110007",-1.19142,29.81025,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1433","4040006",-1.25522,30.05682,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1434","4040008",-1.40499,29.94939,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1435","4040010",-1.16622,29.79429,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1436","4040012",-1.15726,30.06245,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1451","4080002",-1.15060,29.67284,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"1452","4080004",-1.34085,29.76826,UG2011L101,"2011",UG,"1",UG01,SW Highland Irish Potato Sorghum Vegetable Zone,,,,AS07
"355","40230016",-0.61905,29.94353,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"361","41030026",-0.56057,30.67880,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"362","41030038",-0.65430,30.38422,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"363","41110002",-0.94678,30.31203,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"365","41030014",0.01483,30.52033,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"367","41030017",-0.22740,30.40217,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"369","41030023",-0.85530,30.65958,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"556","40210002",-0.49215,30.51417,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"557","40230007",-0.30398,30.37850,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"558","40230011",-0.26006,30.12967,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"559","40230016",-0.54980,30.06752,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"560","40230016",-0.60349,29.99411,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"562","40230016",-0.53922,30.70559,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
"563","40230020",-0.55377,30.30369,UG2011L102,"2011",UG,"2",UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
