fnid,clust
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010102,10105513
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010209,10205202
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010311,10304012
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010309,10312600
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010508,10503367
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3010517,10509319
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20108739
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020103,20113112
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20304314
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020303,20306296
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20403668
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020403,20407481
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20603189
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020603,20607315
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020803,20803731
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20807727
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020913,20904160
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21052427
MW2012C3020619,21087531
MW2012C3020619,21087531
MW2012C3020619,21087531
MW2012C3020619,21087531
MW2012C3020619,21087531
MW2012C3020619,21087531
MW2012C3020619,21087531
MW2012C3020619,21087531
