"","ea_id","FNID"
"155",31001749,"MW2012C3031005"
"156",31001749,"MW2012C3031005"
"157",31001749,"MW2012C3031005"
"158",31004312,"MW2012C3031005"
"159",31004312,"MW2012C3031005"
"160",31004312,"MW2012C3031005"
"161",31007335,"MW2012C3031005"
"162",31007335,"MW2012C3031005"
"163",31002169,"MW2012C3031005"
"164",31002169,"MW2012C3031005"
"165",31442394,"MW2012C3031005"
"166",31442394,"MW2012C3031005"
"167",31536751,"MW2012C3031005"
"168",31552686,"MW2012C3031005"
"169",31552686,"MW2012C3031005"
"170",30803115,"MW2012C3031005"
"171",31001749,"MW2012C3031005"
"172",31001749,"MW2012C3031005"
"173",31004312,"MW2012C3031005"
"174",31002169,"MW2012C3031005"
"175",31539670,"MW2012C3031005"
"176",31539670,"MW2012C3031005"
"177",30403444,"MW2012C3030404"
"178",30404093,"MW2012C3030404"
"179",30404458,"MW2012C3030404"
"180",30404493,"MW2012C3030404"
"181",30403444,"MW2012C3030404"
"182",31546760,"MW2012C3030404"
"183",10101562,"MW2012C3010107"
"184",10102004,"MW2012C3010107"
"185",10102379,"MW2012C3010107"
"186",10102621,"MW2012C3010107"
"187",10202195,"MW2012C3010107"
"188",10101562,"MW2012C3010107"
"189",10102004,"MW2012C3010107"
"190",10744649,"MW2012C3010107"
"191",21037536,"MW2012C3010107"
"192",10101016,"MW2012C3010102"
"193",10101204,"MW2012C3010102"
"194",10101215,"MW2012C3010102"
"195",10101219,"MW2012C3010102"
"196",10101355,"MW2012C3010102"
"197",10101374,"MW2012C3010102"
"198",10101470,"MW2012C3010102"
"199",10101568,"MW2012C3010102"
"200",10101706,"MW2012C3010102"
"201",10103414,"MW2012C3010102"
"202",10103452,"MW2012C3010102"
"203",10103681,"MW2012C3010102"
"204",10104150,"MW2012C3010102"
"205",10104351,"MW2012C3010102"
"206",10104440,"MW2012C3010102"
"207",10105352,"MW2012C3010102"
"208",10105511,"MW2012C3010102"
"209",10105513,"MW2012C3010102"
"210",10120286,"MW2012C3010102"
"211",10120288,"MW2012C3010102"
"212",10101215,"MW2012C3010102"
"213",10101562,"MW2012C3010102"
"214",10101562,"MW2012C3010102"
"215",10101215,"MW2012C3010102"
"216",10101562,"MW2012C3010102"
"217",10101016,"MW2012C3010102"
"218",10101204,"MW2012C3010102"
"219",10101204,"MW2012C3010102"
"220",10103414,"MW2012C3010102"
"221",10102004,"MW2012C3010102"
"222",10104150,"MW2012C3010102"
"223",10104150,"MW2012C3010102"
"224",10203176,"MW2012C3010102"
"225",10401522,"MW2012C3010102"
"226",10401140,"MW2012C3010102"
"227",10732192,"MW2012C3010102"
"228",10735173,"MW2012C3010102"
"229",20601141,"MW2012C3010102"
"230",31443108,"MW2012C3010102"
"231",10101215,"MW2012C3010102"
"232",10101215,"MW2012C3010102"
"233",10103414,"MW2012C3010102"
"234",10103414,"MW2012C3010102"
"235",10732192,"MW2012C3010102"
"236",20807728,"MW2012C3020815"
"237",20801046,"MW2012C3020803"
"238",20801208,"MW2012C3020803"
"239",20801271,"MW2012C3020803"
"240",20801356,"MW2012C3020803"
"241",20801497,"MW2012C3020803"
"242",20802019,"MW2012C3020803"
"243",20802041,"MW2012C3020803"
"244",20802501,"MW2012C3020803"
"245",20803155,"MW2012C3020803"
"246",20803156,"MW2012C3020803"
"247",20803503,"MW2012C3020803"
"248",20803599,"MW2012C3020803"
"249",20803731,"MW2012C3020803"
"250",20804405,"MW2012C3020803"
"251",20804768,"MW2012C3020803"
"252",20805345,"MW2012C3020803"
"253",20806131,"MW2012C3020803"
"254",20806546,"MW2012C3020803"
"255",20806716,"MW2012C3020803"
"256",20808421,"MW2012C3020803"
"257",20820318,"MW2012C3020803"
"258",10401140,"MW2012C3020803"
"259",10507344,"MW2012C3020803"
"260",10744649,"MW2012C3020803"
"261",20110620,"MW2012C3020803"
"262",20113112,"MW2012C3020803"
"263",20508349,"MW2012C3020803"
"264",20601626,"MW2012C3020803"
"265",20601626,"MW2012C3020803"
"266",20801046,"MW2012C3020803"
"267",20802019,"MW2012C3020803"
"268",20802019,"MW2012C3020803"
"269",20802019,"MW2012C3020803"
"270",20803156,"MW2012C3020803"
"271",20804405,"MW2012C3020803"
"272",20804405,"MW2012C3020803"
"273",20804768,"MW2012C3020803"
"274",20806131,"MW2012C3020803"
"275",20804768,"MW2012C3020803"
"276",20804768,"MW2012C3020803"
"277",20808421,"MW2012C3020803"
"278",20909113,"MW2012C3020803"
"279",20908088,"MW2012C3020803"
"280",21037536,"MW2012C3020803"
"281",21051203,"MW2012C3020803"
"282",21051203,"MW2012C3020803"
"283",21052427,"MW2012C3020803"
"284",21066339,"MW2012C3020803"
"285",21077725,"MW2012C3020803"
"286",21080308,"MW2012C3020803"
"287",21087531,"MW2012C3020803"
"288",20601626,"MW2012C3020803"
"289",20610050,"MW2012C3020803"
"290",20610050,"MW2012C3020803"
"291",20803156,"MW2012C3020803"
"292",20804405,"MW2012C3020803"
"293",20804405,"MW2012C3020803"
"294",20807727,"MW2012C3020803"
"295",20808421,"MW2012C3020803"
"296",20909113,"MW2012C3020803"
"297",21037536,"MW2012C3020803"
"298",21055241,"MW2012C3020803"
"299",21086069,"MW2012C3020803"
"300",30105325,"MW2012C3020803"
"301",20401171,"MW2012C3020403"
"302",20401627,"MW2012C3020403"
"303",20401737,"MW2012C3020403"
"304",20402045,"MW2012C3020403"
"305",20402072,"MW2012C3020403"
"306",20402198,"MW2012C3020403"
"307",20402201,"MW2012C3020403"
"308",20402298,"MW2012C3020403"
"309",20403049,"MW2012C3020403"
"310",20403668,"MW2012C3020403"
"311",20403697,"MW2012C3020403"
"312",20404032,"MW2012C3020403"
"313",20404509,"MW2012C3020403"
"314",20404575,"MW2012C3020403"
"315",20404660,"MW2012C3020403"
"316",20405132,"MW2012C3020403"
"317",20405366,"MW2012C3020403"
"318",20405704,"MW2012C3020403"
"319",20406177,"MW2012C3020403"
"320",20406348,"MW2012C3020403"
"321",20406598,"MW2012C3020403"
"322",20407398,"MW2012C3020403"
"323",20407481,"MW2012C3020403"
"324",20421229,"MW2012C3020403"
"325",10101562,"MW2012C3020403"
"326",10201688,"MW2012C3020403"
"327",10736596,"MW2012C3020403"
"328",10736596,"MW2012C3020403"
"329",20111718,"MW2012C3020403"
"330",20303065,"MW2012C3020403"
"331",20402198,"MW2012C3020403"
"332",20404032,"MW2012C3020403"
"333",20402198,"MW2012C3020403"
"334",20402198,"MW2012C3020403"
"335",20404032,"MW2012C3020403"
"336",20404575,"MW2012C3020403"
"337",20405366,"MW2012C3020403"
"338",20407398,"MW2012C3020403"
"339",20407481,"MW2012C3020403"
"340",20407481,"MW2012C3020403"
"341",20407481,"MW2012C3020403"
"342",20601626,"MW2012C3020403"
"343",20601626,"MW2012C3020403"
"344",20601141,"MW2012C3020403"
"345",20607315,"MW2012C3020403"
"346",20607315,"MW2012C3020403"
"347",20614477,"MW2012C3020403"
"348",21037536,"MW2012C3020403"
"349",21037536,"MW2012C3020403"
"350",21048764,"MW2012C3020403"
"351",21052427,"MW2012C3020403"
"352",21052427,"MW2012C3020403"
"353",21055693,"MW2012C3020403"
"354",21086436,"MW2012C3020403"
"355",21086436,"MW2012C3020403"
"356",31442394,"MW2012C3020403"
"357",31436695,"MW2012C3020403"
"358",20111718,"MW2012C3020403"
"359",20112661,"MW2012C3020403"
"360",20404575,"MW2012C3020403"
"361",20407481,"MW2012C3020403"
"362",20407481,"MW2012C3020403"
"363",20407481,"MW2012C3020403"
"364",20407398,"MW2012C3020403"
"365",20407398,"MW2012C3020403"
"366",21037536,"MW2012C3020403"
"367",21048764,"MW2012C3020403"
"368",21055693,"MW2012C3020403"
"369",21086436,"MW2012C3020403"
"370",21086436,"MW2012C3020403"
"371",31002169,"MW2012C3020403"
"372",10204101,"MW2012C3010209"
"373",10204322,"MW2012C3010209"
"374",10204453,"MW2012C3010209"
"375",10204586,"MW2012C3010209"
"376",10204723,"MW2012C3010209"
"377",10205202,"MW2012C3010209"
"378",10205507,"MW2012C3010209"
"379",10201688,"MW2012C3010209"
"380",10204586,"MW2012C3010209"
"381",10204586,"MW2012C3010209"
"382",10203744,"MW2012C3010209"
"383",10203744,"MW2012C3010209"
"384",10204322,"MW2012C3010209"
"385",10204322,"MW2012C3010209"
"386",10204322,"MW2012C3010209"
"387",10220103,"MW2012C3010209"
"388",10401522,"MW2012C3010209"
"389",10404186,"MW2012C3010209"
"390",10741504,"MW2012C3010209"
"391",10203013,"MW2012C3010201"
"392",10203176,"MW2012C3010201"
"393",10203221,"MW2012C3010201"
"394",10203623,"MW2012C3010201"
"395",10203744,"MW2012C3010201"
"396",10220027,"MW2012C3010201"
"397",10220103,"MW2012C3010201"
"398",10220521,"MW2012C3010201"
"399",10220705,"MW2012C3010201"
"400",10101215,"MW2012C3010201"
"401",10102004,"MW2012C3010201"
"402",10102004,"MW2012C3010201"
"403",10201688,"MW2012C3010201"
"404",10203176,"MW2012C3010201"
"405",10202514,"MW2012C3010201"
"406",10203176,"MW2012C3010201"
"407",10203744,"MW2012C3010201"
"408",10203744,"MW2012C3010201"
"409",10204586,"MW2012C3010201"
"410",10220705,"MW2012C3010201"
"411",10204322,"MW2012C3010201"
"412",10220103,"MW2012C3010201"
"413",10405213,"MW2012C3010201"
"414",10404186,"MW2012C3010201"
"415",10734370,"MW2012C3010201"
"416",31435120,"MW2012C3010201"
"417",21066339,"MW2012C3010201"
"418",21066339,"MW2012C3010201"
"419",30403444,"MW2012C3010201"
"420",10201137,"MW2012C3010210"
"421",10201210,"MW2012C3010210"
"422",10201247,"MW2012C3010210"
"423",10201442,"MW2012C3010210"
"424",10201688,"MW2012C3010210"
"425",10202514,"MW2012C3010210"
"426",10203085,"MW2012C3010210"
"427",10201688,"MW2012C3010210"
"428",10201688,"MW2012C3010210"
