ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
"30704313",-15.81793,35.07565,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30706619",-15.75823,35.05002,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30620196",-15.78311,35.05611,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30620196",-15.77567,35.07967,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30703381",-15.77584,35.08671,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30709438",-15.72661,35.07463,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30801672",-15.75098,35.01175,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31002169",-15.80475,35.02742,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31002169",-15.76819,35.01349,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31002169",-15.77434,35.02113,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31108703",-15.78222,35.03594,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31441389",-15.81351,35.08211,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31441389",-15.81524,35.01751,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31441389",-15.82110,35.06877,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31533095",-15.79260,35.08380,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31532674",-15.73080,35.07130,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31536118",-15.77760,35.04020,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31536751",-15.75450,35.04460,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31540419",-15.75360,34.99290,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31540419",-15.71951,35.01206,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31540419",-15.70855,35.05270,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31540419",-15.73099,35.03394,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31539670",-15.76950,34.99690,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
