field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
492,3.03066e+07,-15.79593,35.09408,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
500,3.04034e+07,-15.78915,35.03757,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
508,3.04067e+07,-15.78412,35.02287,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
513,3.05045e+07,-15.72761,34.99801,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
519,3.07043e+07,-15.81078,35.10151,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
523,3.07043e+07,-15.76936,35.02768,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
525,3.06022e+07,-15.78407,35.04785,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
544,3.06202e+07,-15.73914,35.01895,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
545,3.06202e+07,-15.77567,35.07967,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
551,3.07054e+07,-15.76699,35.06492,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
565,3.07094e+07,-15.76242,35.02489,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
566,3.07094e+07,-15.72661,35.07463,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
567,3.07094e+07,-15.81399,35.09396,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
577,3.08017e+07,-15.75098,35.01175,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
629,3.11087e+07,-15.78222,35.03594,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
635,3.1201e+07,-15.76049,35.01006,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
666,3.14414e+07,-15.81351,35.08211,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
668,3.14414e+07,-15.81524,35.01751,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
674,3.14433e+07,-15.76563,35.01082,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
676,3.14414e+07,-15.82110,35.06877,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
679,3.14433e+07,-15.78732,35.00290,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
680,3.15361e+07,-15.77760,35.04020,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
682,3.15327e+07,-15.73080,35.07130,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
684,3.15327e+07,-15.83014,35.06685,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
695,3.15397e+07,-15.76950,34.99690,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
696,3.15468e+07,-15.82340,35.08850,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
699,3.15397e+07,-15.76917,35.01170,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
708,3.15503e+07,-15.80860,35.05720,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
720,3.15503e+07,-15.74420,35.08090,MW2012C3030519,2012,MW,Malawi,Southern,Blantyre,,MW19,Blantyre,10920219,3
419,2.10803e+07,-15.50669,34.84617,MW2012C3030506,2012,MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,10920206,3
497,3.05014e+07,-15.65026,34.91140,MW2012C3030506,2012,MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,10920206,3
511,3.05045e+07,-15.70880,34.83010,MW2012C3030506,2012,MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,10920206,3
616,3.10022e+07,-15.51320,35.03359,MW2012C3030506,2012,MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,10920206,3
618,3.10022e+07,-15.58777,35.02781,MW2012C3030506,2012,MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,10920206,3
